Name,Birth,Twelve,Ordained,Seniority
Thomas S. Monson,08/21/1927,10/04/1963,10/10/1963,1
Boyd K. Packer,09/10/1924,04/06/1970,04/09/1970,2
L. Tom Perry,08/05/1922,04/06/1974,04/11/1974,3
Russell M. Nelson,09/09/1924,04/07/1984,04/12/1984,4
Dallin H. Oaks,08/12/1932,04/07/1984,05/03/1984,5
M. Russell Ballard,10/08/1928,10/06/1985,10/10/1985,6
Richard G. Scott,11/07/1928,10/01/1988,10/06/1988,7
Robert D. Hales,08/24/1932,04/07/1994,04/07/1994,8
Jeffrey R. Holland,12/03/1940,06/23/1994,06/23/1994,9
Henry B. Eyring,05/31/1933,04/01/1995,04/01/1995,10
Dieter F. Uchtdorf,11/06/1940,10/02/2004,10/07/2004,11
David A. Bednar,06/15/1952,10/07/2004,10/07/2004,12
Quentin L. Cook,09/08/1940,10/06/2007,10/11/2007,13
D. Todd Christofferson,01/24/1945,04/05/2008,04/10/2008,14
Neil L. Andersen,08/09/1951,04/04/2009,04/09/2009,15
